first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
5/10/2020,5/16/2020,50-54,?? ????,<15,0,0
5/10/2020,5/16/2020,50-54,????,1275,<15,<15
5/10/2020,5/16/2020,55-59,???,756,<15,<15
5/10/2020,5/16/2020,55-59,?? ????,<15,0,0
5/10/2020,5/16/2020,55-59,????,1091,<15,0
5/10/2020,5/16/2020,60-64,???,778,<15,<15
5/10/2020,5/16/2020,60-64,????,1105,<15,0
5/10/2020,5/16/2020,65-69,???,863,<15,0
5/10/2020,5/16/2020,65-69,????,1059,<15,0
5/10/2020,5/16/2020,70-74,???,892,<15,<15
5/10/2020,5/16/2020,70-74,?? ????,<15,0,0
5/10/2020,5/16/2020,70-74,????,1095,<15,0
5/10/2020,5/16/2020,75-79,???,656,<15,<15
5/10/2020,5/16/2020,75-79,????,813,<15,<15
5/10/2020,5/16/2020,80+,???,2096,<15,<15
5/10/2020,5/16/2020,80+,????,4790,<15,<15
5/10/2020,5/16/2020,NULL,???,582,<15,0
5/10/2020,5/16/2020,NULL,?? ????,207,0,0
5/10/2020,5/16/2020,NULL,????,635,<15,0
5/17/2020,5/23/2020,0-19,???,2198,<15,0
5/17/2020,5/23/2020,0-19,?? ????,16,0,0
5/17/2020,5/23/2020,0-19,????,1711,24,0
5/17/2020,5/23/2020,20-24,???,1004,<15,0
5/17/2020,5/23/2020,20-24,?? ????,<15,0,0
5/17/2020,5/23/2020,20-24,????,1131,<15,0
5/17/2020,5/23/2020,25-29,???,1081,<15,0
5/17/2020,5/23/2020,25-29,?? ????,<15,0,0
5/17/2020,5/23/2020,25-29,????,1512,<15,0
5/17/2020,5/23/2020,30-34,???,1159,<15,<15
5/17/2020,5/23/2020,30-34,?? ????,<15,0,0
5/17/2020,5/23/2020,30-34,????,1642,<15,0
5/17/2020,5/23/2020,35-39,???,1194,<15,0
5/17/2020,5/23/2020,35-39,?? ????,<15,0,0
5/17/2020,5/23/2020,35-39,????,1598,<15,0
5/17/2020,5/23/2020,40-44,???,976,<15,0
5/17/2020,5/23/2020,40-44,?? ????,<15,0,0
5/17/2020,5/23/2020,40-44,????,1483,<15,0
5/17/2020,5/23/2020,45-49,???,842,<15,0
5/17/2020,5/23/2020,45-49,?? ????,<15,0,0
5/17/2020,5/23/2020,45-49,????,1073,<15,0
5/17/2020,5/23/2020,50-54,???,701,<15,0
5/17/2020,5/23/2020,50-54,?? ????,<15,0,0
5/17/2020,5/23/2020,50-54,????,951,<15,0
5/17/2020,5/23/2020,55-59,???,692,<15,0
5/17/2020,5/23/2020,55-59,?? ????,<15,0,0
5/17/2020,5/23/2020,55-59,????,973,<15,0
5/17/2020,5/23/2020,60-64,???,601,<15,0
5/17/2020,5/23/2020,60-64,????,910,<15,0
5/17/2020,5/23/2020,65-69,???,631,<15,0
5/17/2020,5/23/2020,65-69,????,736,<15,0
5/17/2020,5/23/2020,70-74,???,656,<15,0
5/17/2020,5/23/2020,70-74,????,758,<15,0
5/17/2020,5/23/2020,75-79,???,454,<15,0
5/17/2020,5/23/2020,75-79,????,602,0,0
5/17/2020,5/23/2020,80+,???,1590,<15,<15
5/17/2020,5/23/2020,80+,?? ????,<15,0,0
5/17/2020,5/23/2020,80+,????,3452,0,0
5/17/2020,5/23/2020,NULL,???,481,<15,0
5/17/2020,5/23/2020,NULL,?? ????,230,<15,0
5/17/2020,5/23/2020,NULL,????,459,<15,0
5/24/2020,5/30/2020,0-19,???,2294,79,0
5/24/2020,5/30/2020,0-19,?? ????,48,<15,0
5/24/2020,5/30/2020,0-19,????,1988,64,0
5/24/2020,5/30/2020,20-24,???,688,<15,0
5/24/2020,5/30/2020,20-24,?? ????,<15,0,0
5/24/2020,5/30/2020,20-24,????,752,<15,0
5/24/2020,5/30/2020,25-29,???,727,<15,0
5/24/2020,5/30/2020,25-29,????,1145,<15,0
5/24/2020,5/30/2020,30-34,???,962,<15,0
5/24/2020,5/30/2020,30-34,?? ????,<15,0,0
5/24/2020,5/30/2020,30-34,????,1468,<15,0
5/24/2020,5/30/2020,35-39,???,920,<15,0
5/24/2020,5/30/2020,35-39,?? ????,<15,0,0
5/24/2020,5/30/2020,35-39,????,1443,<15,0
5/24/2020,5/30/2020,40-44,???,730,<15,0
5/24/2020,5/30/2020,40-44,?? ????,<15,0,0
5/24/2020,5/30/2020,40-44,????,1245,<15,0
5/24/2020,5/30/2020,45-49,???,571,<15,0
5/24/2020,5/30/2020,45-49,?? ????,<15,0,0
5/24/2020,5/30/2020,45-49,????,864,<15,0
5/24/2020,5/30/2020,50-54,???,466,<15,0
5/24/2020,5/30/2020,50-54,?? ????,<15,0,0
5/24/2020,5/30/2020,50-54,????,657,<15,0
5/24/2020,5/30/2020,55-59,???,391,<15,0
5/24/2020,5/30/2020,55-59,?? ????,<15,0,0
5/24/2020,5/30/2020,55-59,????,616,<15,0
5/24/2020,5/30/2020,60-64,???,410,<15,0
5/24/2020,5/30/2020,60-64,????,679,<15,0
5/24/2020,5/30/2020,65-69,???,406,<15,0
5/24/2020,5/30/2020,65-69,????,605,<15,<15
5/24/2020,5/30/2020,70-74,???,524,<15,0
5/24/2020,5/30/2020,70-74,?? ????,<15,0,0
5/24/2020,5/30/2020,70-74,????,779,<15,0
5/24/2020,5/30/2020,75-79,???,396,<15,<15
5/24/2020,5/30/2020,75-79,????,706,<15,<15
5/24/2020,5/30/2020,80+,???,1611,<15,<15
5/24/2020,5/30/2020,80+,?? ????,<15,0,0
5/24/2020,5/30/2020,80+,????,3543,<15,<15
5/24/2020,5/30/2020,NULL,???,384,<15,0
5/24/2020,5/30/2020,NULL,?? ????,117,<15,0
5/24/2020,5/30/2020,NULL,????,392,<15,0
5/31/2020,6/6/2020,0-19,???,12951,114,0
5/31/2020,6/6/2020,0-19,?? ????,435,<15,0
5/31/2020,6/6/2020,0-19,????,12490,119,0
5/31/2020,6/6/2020,20-24,???,1603,18,0
5/31/2020,6/6/2020,20-24,?? ????,31,0,0
5/31/2020,6/6/2020,20-24,????,2134,21,0
5/31/2020,6/6/2020,25-29,???,1757,23,0
5/31/2020,6/6/2020,25-29,?? ????,46,<15,0
5/31/2020,6/6/2020,25-29,????,2871,23,0
5/31/2020,6/6/2020,30-34,???,2221,41,0
5/31/2020,6/6/2020,30-34,?? ????,94,<15,0
5/31/2020,6/6/2020,30-34,????,3422,33,0
5/31/2020,6/6/2020,35-39,???,2276,24,0
5/31/2020,6/6/2020,35-39,?? ????,76,0,0
5/31/2020,6/6/2020,35-39,????,3373,37,0
5/31/2020,6/6/2020,40-44,???,2017,30,0
5/31/2020,6/6/2020,40-44,?? ????,81,<15,0
5/31/2020,6/6/2020,40-44,????,3282,23,0
5/31/2020,6/6/2020,45-49,???,1723,22,0
5/31/2020,6/6/2020,45-49,?? ????,52,<15,0
5/31/2020,6/6/2020,45-49,????,2601,23,0
5/31/2020,6/6/2020,50-54,???,1395,18,0
5/31/2020,6/6/2020,50-54,?? ????,30,0,0
5/31/2020,6/6/2020,50-54,????,2128,<15,0
5/31/2020,6/6/2020,55-59,???,1168,15,<15
